feature_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,pvalue
log_sigma_1_0_mm_3D_glrlm_RunPercentage,0.9932¡À0.0035,0.9923¡À0.0045,0.9934¡À0.0018,0.9919¡À0.0023,0.9931¡À0.0029,0.9954¡À0.0016,0.9943¡À0.0026,0.005344014
gradient_glrlm_RunLengthNonUniformityNormalized,0.9630¡À0.0163,0.9588¡À0.0199,0.9624¡À0.0114,0.9637¡À0.0100,0.9616¡À0.0095,0.9708¡À0.0080,0.9683¡À0.0155,0.005391684
square_glcm_Correlation,0.1177¡À0.0773,0.0990¡À0.0736,0.1121¡À0.0772,0.1258¡À0.0716,0.1035¡À0.0686,0.1455¡À0.0470,0.1463¡À0.0885,0.005596659
gradient_glrlm_ShortRunEmphasis,0.9855¡À0.0065,0.9838¡À0.0080,0.9854¡À0.0045,0.9856¡À0.0041,0.9849¡À0.0039,0.9888¡À0.0031,0.9877¡À0.0061,0.005612133
lbp_3D_m2_glrlm_ShortRunEmphasis,0.8494¡À0.0256,0.8422¡À0.0332,0.8503¡À0.0171,0.8537¡À0.0103,0.8489¡À0.0136,0.8512¡À0.0096,0.8594¡À0.0213,0.005780454
gradient_glrlm_RunPercentage,0.9809¡À0.0085,0.9787¡À0.0104,0.9807¡À0.0060,0.9813¡À0.0053,0.9803¡À0.0051,0.9852¡À0.0042,0.9837¡À0.0081,0.005907452
lbp_3D_m2_glszm_SizeZoneNonUniformityNormalized,0.2500¡À0.0797,0.2742¡À0.0925,0.2646¡À0.0580,0.2172¡À0.0719,0.1893¡À0.0297,0.2151¡À0.0630,0.2366¡À0.0694,0.00590876
wavelet_HLL_firstorder_InterquartileRange,592.8191¡À185.7503,537.8478¡À186.2967,649.2850¡À182.1611,481.8831¡À112.6496,555.5200¡À156.9895,757.5642¡À147.7320,644.1924¡À173.5123,0.006049883
wavelet_HLL_glszm_SmallAreaEmphasis,0.9754¡À0.0138,0.9723¡À0.0158,0.9742¡À0.0115,0.9713¡À0.0135,0.9772¡À0.0123,0.9826¡À0.0061,0.9798¡À0.0123,0.006246923
wavelet_HLL_gldm_SmallDependenceEmphasis,0.9505¡À0.0278,0.9441¡À0.0323,0.9487¡À0.0229,0.9438¡À0.0239,0.9548¡À0.0239,0.9649¡À0.0122,0.9592¡À0.0253,0.006299943
logarithm_glcm_Idm,0.0394¡À0.0165,0.0348¡À0.0195,0.0379¡À0.0148,0.0468¡À0.0099,0.0415¡À0.0159,0.0414¡À0.0100,0.0449¡À0.0134,0.00633377
wavelet_HLL_glszm_SizeZoneNonUniformityNormalized,0.9379¡À0.0334,0.9309¡À0.0378,0.9347¡À0.0281,0.9276¡À0.0325,0.9420¡À0.0299,0.9554¡À0.0155,0.9488¡À0.0305,0.006439498
gradient_glrlm_LongRunEmphasis,1.0605¡À0.0281,1.0676¡À0.0344,1.0610¡À0.0195,1.0605¡À0.0179,1.0625¡À0.0176,1.0460¡À0.0135,1.0517¡À0.0263,0.006551685
lbp_3D_k_glrlm_ShortRunLowGrayLevelEmphasis,0.4611¡À0.0450,0.4501¡À0.0477,0.4561¡À0.0364,0.4787¡À0.0300,0.4447¡À0.0284,0.4762¡À0.0374,0.4776¡À0.0495,0.006564557
log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis,1.0210¡À0.0116,1.0239¡À0.0154,1.0202¡À0.0055,1.0248¡À0.0072,1.0212¡À0.0092,1.0142¡À0.0051,1.0174¡À0.0079,0.006757068
